pts,wk,position,player
540,0,141,"{'id': 29372, 'name': 'Andrey Rublev', 'birthday': '1997-10-20T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
538,3,142,"{'id': 22590, 'name': 'Calum Puttergill', 'birthday': '1993-10-22T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
527,-17,143,"{'id': 40605, 'name': 'Dan Added', 'birthday': '1999-04-13T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
527,-4,144,"{'id': 30211, 'name': 'Thomas Fancutt', 'birthday': '1995-02-25T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
525,-2,145,"{'id': 62166, 'name': 'James Kent Trotter', 'birthday': '1999-07-29T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
521,-2,146,"{'id': 23147, 'name': 'Ramkumar Ramanathan', 'birthday': '1994-11-08T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
516,2,147,"{'id': 16994, 'name': 'Luke Saville', 'birthday': '1994-02-01T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
505,-2,148,"{'id': 30748, 'name': 'Kaito Uesugi', 'birthday': '1995-06-02T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
491,11,149,"{'id': 46717, 'name': 'Vasil Kirkov', 'birthday': '1999-03-13T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
490,-2,150,"{'id': 30087, 'name': 'Alejandro Tabilo', 'birthday': '1997-06-02T00:00:00.000Z', 'countryAcr': 'CHI', 'country': {'name': 'Chile', 'acronym': 'CHI'}}"
488,10,151,"{'id': 12977, 'name': 'Hans Hach Verdugo', 'birthday': '1989-11-11T00:00:00.000Z', 'countryAcr': 'MEX', 'country': {'name': 'Mexico', 'acronym': 'MEX'}}"
485,-2,152,"{'id': 57683, 'name': 'David Stevenson', 'birthday': '1999-01-01T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
482,-2,153,"{'id': 35376, 'name': 'Federico Agustin Gomez', 'birthday': '1996-11-26T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
480,-2,154,"{'id': 29932, 'name': 'Taylor Fritz', 'birthday': '1997-10-28T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
480,-2,155,"{'id': 24249, 'name': 'Botic Van De Zandschulp', 'birthday': '1995-10-04T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
478,-2,156,"{'id': 76010, 'name': 'Daniel Rincon', 'birthday': '2003-01-07T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
471,0,157,"{'id': 67986, 'name': 'Tristan Schoolkate', 'birthday': '2001-02-26T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
469,0,158,"{'id': 57963, 'name': 'Mac Kiger', 'birthday': '1998-12-19T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
467,0,159,"{'id': 22992, 'name': 'Benjamin Lock', 'birthday': '1993-03-04T00:00:00.000Z', 'countryAcr': 'ZIM', 'country': {'name': 'Zimbabwe', 'acronym': 'ZIM'}}"
453,2,160,"{'id': 22269, 'name': 'Kaichi Uchida', 'birthday': '1994-08-23T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
453,-6,161,"{'id': 22115, 'name': 'Matej Sabanov', 'birthday': '1992-06-25T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
453,-7,162,"{'id': 23160, 'name': 'Ivan Sabanov', 'birthday': '1992-06-25T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
451,0,163,"{'id': 29720, 'name': 'Szymon Walkow', 'birthday': '1995-09-22T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
443,0,164,"{'id': 30102, 'name': 'Joshua Paris', 'birthday': '1996-03-06T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
432,9,165,"{'id': 30931, 'name': 'Daniel Cukierman', 'birthday': '1995-07-09T00:00:00.000Z', 'countryAcr': 'ISR', 'country': {'name': 'Israel', 'acronym': 'ISR'}}"
428,-1,166,"{'id': 30465, 'name': 'Simon Freund', 'birthday': '1996-09-28T00:00:00.000Z', 'countryAcr': 'SWE', 'country': {'name': 'Sweden', 'acronym': 'SWE'}}"
426,-1,167,"{'id': 45722, 'name': 'Alex Lawson', 'birthday': '1994-01-31T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
419,0,168,"{'id': 29572, 'name': 'Scott Duncan', 'birthday': '1994-08-21T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
417,-2,169,"{'id': 50128, 'name': 'Trey Hilderbrand', 'birthday': '2000-05-15T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
416,-1,170,"{'id': 50504, 'name': 'Jakub Paul', 'birthday': '1999-03-22T00:00:00.000Z', 'countryAcr': 'SUI', 'country': {'name': 'Switzerland', 'acronym': 'SUI'}}"
416,9,171,"{'id': 38876, 'name': 'Santiago Rodriguez Taverna', 'birthday': '1999-07-16T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
415,-1,172,"{'id': 29667, 'name': 'David Pichler', 'birthday': '1996-02-19T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
398,3,173,"{'id': 48871, 'name': 'Yuta Shimizu', 'birthday': '1999-06-09T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
394,-1,174,"{'id': 83794, 'name': 'Henrique Rocha', 'birthday': '2004-04-06T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
389,18,175,"{'id': 53532, 'name': 'Liam Draxl', 'birthday': '2001-12-05T00:00:00.000Z', 'countryAcr': 'CAN', 'country': {'name': 'Canada', 'acronym': 'CAN'}}"
384,5,176,"{'id': 11815, 'name': 'Luca Margaroli', 'birthday': '1992-02-15T00:00:00.000Z', 'countryAcr': 'SUI', 'country': {'name': 'Switzerland', 'acronym': 'SUI'}}"
384,5,177,"{'id': 22112, 'name': 'Hunter Reese', 'birthday': '1993-01-11T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
384,5,178,"{'id': 26514, 'name': 'Giorgio Ricca', 'birthday': '1995-02-27T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
383,0,179,"{'id': 76576, 'name': 'Takeru Yuzuki', 'birthday': '1998-09-22T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
382,4,180,"{'id': 12534, 'name': 'Renzo Olivo', 'birthday': '1992-03-15T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
382,4,181,"{'id': 17009, 'name': 'Francis Casey Alcantara', 'birthday': '1992-02-04T00:00:00.000Z', 'countryAcr': 'PHI', 'country': {'name': 'Philippines', 'acronym': 'PHI'}}"
378,4,182,"{'id': 80500, 'name': 'Milos Karol', 'birthday': '2002-12-13T00:00:00.000Z', 'countryAcr': 'SVK', 'country': {'name': 'Slovakia', 'acronym': 'SVK'}}"
376,4,183,"{'id': 53519, 'name': 'Finn Reynolds', 'birthday': '2000-01-04T00:00:00.000Z', 'countryAcr': 'NZL', 'country': {'name': 'New Zealand', 'acronym': 'NZL'}}"
375,4,184,"{'id': 12214, 'name': 'Nikola Cacic', 'birthday': '1990-12-07T00:00:00.000Z', 'countryAcr': 'SRB', 'country': {'name': 'Serbia', 'acronym': 'SRB'}}"
374,14,185,"{'id': 89443, 'name': 'James Tracy', 'birthday': '2002-07-10T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
374,3,186,"{'id': 29457, 'name': 'Andrea Pellegrino', 'birthday': '1997-03-23T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
370,3,187,"{'id': 4236, 'name': 'Andrey Golubev', 'birthday': '1987-07-22T00:00:00.000Z', 'countryAcr': 'KAZ', 'country': {'name': 'Kazakhstan', 'acronym': 'KAZ'}}"
368,-10,188,"{'id': 30856, 'name': 'Zdenek Kolar', 'birthday': '1996-10-09T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
368,2,189,"{'id': 36842, 'name': 'Ben Jones', 'birthday': '1998-05-19T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
367,-18,190,"{'id': 28900, 'name': 'Roman Safiullin', 'birthday': '1997-08-07T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
360,3,191,"{'id': 27851, 'name': 'Cameron Norrie', 'birthday': '1995-08-23T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
360,3,192,"{'id': 26381, 'name': 'Christopher Eubanks', 'birthday': '1996-05-05T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
360,3,193,"{'id': 52721, 'name': 'Sebastian Baez', 'birthday': '2000-12-28T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
360,4,194,"{'id': 57913, 'name': 'Blake Bayldon', 'birthday': '1998-12-07T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
359,-3,195,"{'id': 33614, 'name': 'Blake Ellis', 'birthday': '1999-01-06T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
357,-21,196,"{'id': 22704, 'name': 'Vladyslav Manafov', 'birthday': '1993-04-22T00:00:00.000Z', 'countryAcr': 'UKR', 'country': {'name': 'Ukraine', 'acronym': 'UKR'}}"
352,7,197,"{'id': 76009, 'name': 'Abedallah Shelbayh', 'birthday': '2003-11-16T00:00:00.000Z', 'countryAcr': 'JOR', 'country': {'name': 'Jordan', 'acronym': 'JOR'}}"
351,2,198,"{'id': 56195, 'name': 'Tristan Boyer', 'birthday': '2001-04-21T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
347,23,199,"{'id': 18100, 'name': 'David Pel', 'birthday': '1991-07-09T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
346,2,200,"{'id': 55634, 'name': 'Neil Oberleitner', 'birthday': '1999-08-05T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
340,-31,201,"{'id': 66988, 'name': 'Robert Cash', 'birthday': '2001-03-07T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
331,4,202,"{'id': 56197, 'name': 'Emilio Nava', 'birthday': '2001-12-02T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
330,4,203,"{'id': 63572, 'name': 'Lorenzo Musetti', 'birthday': '2002-03-03T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
330,4,204,"{'id': 37164, 'name': 'Benjamin Sigouin', 'birthday': '1999-06-03T00:00:00.000Z', 'countryAcr': 'CAN', 'country': {'name': 'Canada', 'acronym': 'CAN'}}"
328,4,205,"{'id': 28742, 'name': 'Yunseong Chung', 'birthday': '1998-03-27T00:00:00.000Z', 'countryAcr': 'KOR', 'country': {'name': 'Korea, Rep.', 'acronym': 'KOR'}}"
328,56,206,"{'id': 36772, 'name': 'Conner Huertas Del Pino', 'birthday': '1995-12-20T00:00:00.000Z', 'countryAcr': 'PER', 'country': {'name': 'Peru', 'acronym': 'PER'}}"
327,16,207,"{'id': 23816, 'name': 'Daniel Masur', 'birthday': '1994-11-06T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
327,3,208,"{'id': 29905, 'name': 'Mariano Kestelboim', 'birthday': '1996-02-06T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
325,-6,209,"{'id': 83795, 'name': 'Jaime Faria', 'birthday': '2003-08-06T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
323,-33,210,"{'id': 57304, 'name': 'Michael Vrbensky', 'birthday': '1999-12-26T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
322,9,211,"{'id': 46407, 'name': 'Mateus Alves', 'birthday': '2001-01-23T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
321,35,212,"{'id': 32887, 'name': 'Benjamin Hassan', 'birthday': '1995-02-04T00:00:00.000Z', 'countryAcr': 'LIB', 'country': {'name': 'Lebanon', 'acronym': 'LIB'}}"
321,-1,213,"{'id': 22431, 'name': 'Andrew Harris', 'birthday': '1994-03-07T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
321,0,214,"{'id': 23144, 'name': 'Luis Britto', 'birthday': '1993-06-23T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
318,0,215,"{'id': 67188, 'name': 'Jiri Barnat', 'birthday': '2001-07-26T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
316,11,216,"{'id': 7732, 'name': 'Daniel Dutra Da Silva', 'birthday': '1988-07-05T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
315,0,217,"{'id': 37532, 'name': 'Tomas Martin Etcheverry', 'birthday': '1999-07-18T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
314,-21,218,"{'id': 31650, 'name': 'Kai Wehnelt', 'birthday': '1995-11-27T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
314,-1,219,"{'id': 92649, 'name': 'Tiago Pereira', 'birthday': '2004-06-20T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
313,10,220,"{'id': 37492, 'name': 'Andres Andrade', 'birthday': '1998-12-14T00:00:00.000Z', 'countryAcr': 'ECU', 'country': {'name': 'Ecuador', 'acronym': 'ECU'}}"
313,17,221,"{'id': 21520, 'name': 'Augusto Virgili', 'birthday': '1994-06-29T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
312,-3,222,"{'id': 35296, 'name': 'Remy Bertola', 'birthday': '1998-08-31T00:00:00.000Z', 'countryAcr': 'SUI', 'country': {'name': 'Switzerland', 'acronym': 'SUI'}}"
309,-7,223,"{'id': 66526, 'name': 'Seita Watanabe', 'birthday': '2000-12-25T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
306,-23,224,"{'id': 31446, 'name': 'Nuno Borges', 'birthday': '1997-02-19T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
304,4,225,"{'id': 37053, 'name': 'Alexander Donski', 'birthday': '1998-08-01T00:00:00.000Z', 'countryAcr': 'CAN', 'country': {'name': 'Canada', 'acronym': 'CAN'}}"
302,-21,226,"{'id': 47752, 'name': 'Adam Walton', 'birthday': '1999-04-17T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
302,6,227,"{'id': 36397, 'name': 'Matej Vocel', 'birthday': '1997-05-20T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
302,-4,228,"{'id': 24841, 'name': 'Gonzalo Villanueva', 'birthday': '1995-01-13T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
302,30,229,"{'id': 24647, 'name': 'Christoph Negritu', 'birthday': '1994-03-21T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
300,-5,230,"{'id': 8298, 'name': 'Marcus Daniell', 'birthday': '1989-11-09T00:00:00.000Z', 'countryAcr': 'NZL', 'country': {'name': 'New Zealand', 'acronym': 'NZL'}}"
300,-5,231,"{'id': 24843, 'name': 'Pruchya Isarow', 'birthday': '1995-10-16T00:00:00.000Z', 'countryAcr': 'THA', 'country': {'name': 'Thailand', 'acronym': 'THA'}}"
299,-4,232,"{'id': 34352, 'name': 'Ajeet Rai', 'birthday': '1999-01-18T00:00:00.000Z', 'countryAcr': 'NZL', 'country': {'name': 'New Zealand', 'acronym': 'NZL'}}"
296,-2,233,"{'id': 79065, 'name': 'Arthur Fery', 'birthday': '2002-07-12T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
296,-21,234,"{'id': 18771, 'name': 'Oriol Roca Batalla', 'birthday': '1993-04-30T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
295,1,235,"{'id': 28992, 'name': 'Jay Clarke', 'birthday': '1998-07-27T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
294,-2,236,"{'id': 67172, 'name': 'Paulo Andre Saraiva Dos Santos', 'birthday': '2000-06-23T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
292,-2,237,"{'id': 36275, 'name': 'Courtney John Lock', 'birthday': '1996-10-18T00:00:00.000Z', 'countryAcr': 'ZIM', 'country': {'name': 'Zimbabwe', 'acronym': 'ZIM'}}"
291,-1,238,"{'id': 14861, 'name': 'Antoine Escoffier', 'birthday': '1992-02-29T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
286,0,239,"{'id': 18230, 'name': 'Andres Urrea', 'birthday': '1994-08-31T00:00:00.000Z', 'countryAcr': 'COL', 'country': {'name': 'Colombia', 'acronym': 'COL'}}"
285,0,240,"{'id': 31392, 'name': 'Lorenzo Sonego', 'birthday': '1995-05-11T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
284,0,241,"{'id': 17267, 'name': 'Kelsey Stevenson', 'birthday': '1990-05-29T00:00:00.000Z', 'countryAcr': 'CAN', 'country': {'name': 'Canada', 'acronym': 'CAN'}}"
283,0,242,"{'id': 35323, 'name': 'Matteo Martineau', 'birthday': '1999-01-16T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
280,0,243,"{'id': 36171, 'name': 'Kody Pearson', 'birthday': '1999-07-26T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
280,-23,244,"{'id': 68970, 'name': 'Luca Sanchez', 'birthday': '1999-03-18T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
279,-1,245,"{'id': 8660, 'name': 'Roman Jebavy', 'birthday': '1989-11-16T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
270,2,246,"{'id': 83135, 'name': 'Arthur Fils', 'birthday': '2004-06-12T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
270,2,247,"{'id': 27547, 'name': 'Sebastian Ofner', 'birthday': '1996-05-12T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
270,2,248,"{'id': 62709, 'name': 'Joshua Sheehy', 'birthday': '1997-01-28T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
270,2,249,"{'id': 42123, 'name': 'Ignacio Carou', 'birthday': '1999-07-12T00:00:00.000Z', 'countryAcr': 'URU', 'country': {'name': 'Uruguay', 'acronym': 'URU'}}"
269,2,250,"{'id': 90774, 'name': 'Filippo Romano', 'birthday': '2005-07-07T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
268,2,251,"{'id': 84083, 'name': 'Ilia Simakin', 'birthday': '2003-10-27T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
267,2,252,"{'id': 58606, 'name': 'Ryan Nijboer', 'birthday': '1999-07-28T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
266,-8,253,"{'id': 65727, 'name': 'Tennyson Whiting', 'birthday': '2001-09-22T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
265,4,254,"{'id': 56813, 'name': 'Joshua Charlton', 'birthday': '1999-07-29T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
260,2,255,"{'id': 44555, 'name': 'Jurij Rodionov', 'birthday': '1999-05-16T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
260,53,256,"{'id': 26099, 'name': 'Alexander Merino', 'birthday': '1992-08-31T00:00:00.000Z', 'countryAcr': 'PER', 'country': {'name': 'Peru', 'acronym': 'PER'}}"
260,3,257,"{'id': 65695, 'name': 'Patrick Harper', 'birthday': '2000-01-28T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
254,3,258,"{'id': 29462, 'name': 'Michael Geerts', 'birthday': '1995-01-17T00:00:00.000Z', 'countryAcr': 'BEL', 'country': {'name': 'Belgium', 'acronym': 'BEL'}}"
253,12,259,"{'id': 36883, 'name': 'Bogdan Pavel', 'birthday': '1999-06-11T00:00:00.000Z', 'countryAcr': 'ROU', 'country': {'name': 'Romania', 'acronym': 'ROU'}}"
252,4,260,"{'id': 8753, 'name': 'Saketh-Sai Myneni', 'birthday': '1987-10-19T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
252,-15,261,"{'id': 7757, 'name': 'Inigo Cervantes', 'birthday': '1989-11-30T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
252,3,262,"{'id': 85193, 'name': 'Aleksandr Lobanov', 'birthday': '2001-04-01T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
250,3,263,"{'id': 30849, 'name': 'Tomas Barrios Vera', 'birthday': '1997-12-10T00:00:00.000Z', 'countryAcr': 'CHI', 'country': {'name': 'Chile', 'acronym': 'CHI'}}"
250,3,264,"{'id': 36257, 'name': 'Vladyslav Orlov', 'birthday': '1995-05-17T00:00:00.000Z', 'countryAcr': 'UKR', 'country': {'name': 'Ukraine', 'acronym': 'UKR'}}"
249,3,265,"{'id': 22979, 'name': 'Markos Kalovelonis', 'birthday': '1994-05-18T00:00:00.000Z', 'countryAcr': 'GRE', 'country': {'name': 'Greece', 'acronym': 'GRE'}}"
245,-3,266,"{'id': 22428, 'name': 'Evgeny Karlovskiy', 'birthday': '1994-08-07T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
245,3,267,"{'id': 48854, 'name': 'Filip Duda', 'birthday': '1998-09-30T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
241,5,268,"{'id': 84946, 'name': 'Tomas Lanik', 'birthday': '2002-05-16T00:00:00.000Z', 'countryAcr': 'SVK', 'country': {'name': 'Slovakia', 'acronym': 'SVK'}}"
240,5,269,"{'id': 37105, 'name': 'Emil Ruusuvuori', 'birthday': '1999-04-02T00:00:00.000Z', 'countryAcr': 'FIN', 'country': {'name': 'Finland', 'acronym': 'FIN'}}"
238,-60,270,"{'id': 1742, 'name': 'Jose Statham', 'birthday': '1987-04-25T00:00:00.000Z', 'countryAcr': 'NZL', 'country': {'name': 'New Zealand', 'acronym': 'NZL'}}"
237,5,271,"{'id': 22710, 'name': 'Li Tu', 'birthday': '1996-05-27T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
237,0,272,"{'id': 48460, 'name': 'Siddhant Banthia', 'birthday': '2000-08-04T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
236,5,273,"{'id': 45979, 'name': 'Yu Hsiou Hsu', 'birthday': '1999-04-02T00:00:00.000Z', 'countryAcr': 'TPE', 'country': {'name': 'Chinese Taipei', 'acronym': 'TPE'}}"
236,5,274,"{'id': 38469, 'name': 'Arthur Reymond', 'birthday': '1999-04-02T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
236,9,275,"{'id': 81783, 'name': 'Anthony Genov', 'birthday': '2002-03-02T00:00:00.000Z', 'countryAcr': 'BUL', 'country': {'name': 'Bulgaria', 'acronym': 'BUL'}}"
235,4,276,"{'id': 22069, 'name': 'Thai Kwiatkowski', 'birthday': '1995-02-13T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
235,4,277,"{'id': 34103, 'name': 'Corentin Denolly', 'birthday': '1997-06-06T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
233,5,278,"{'id': 76725, 'name': 'Egor Agafonov', 'birthday': '2002-09-05T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
232,42,279,"{'id': 71196, 'name': 'Cleeve Harper', 'birthday': '2000-12-24T00:00:00.000Z', 'countryAcr': 'CAN', 'country': {'name': 'Canada', 'acronym': 'CAN'}}"
232,-24,280,"{'id': 35036, 'name': 'Geoffrey Blancaneaux', 'birthday': '1998-08-08T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
230,-12,281,"{'id': 35225, 'name': 'Alexander Weis', 'birthday': '1997-04-24T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
