pts,position,id,name,birthday,countryAcr,country.name,country.acronym
210,305,13429,Denis Kudla,1992-08-17T00:00:00.000Z,USA,United States,USA
209,306,50000,Joao Lucas Reis Da Silva,2000-03-26T00:00:00.000Z,BRA,Brazil,BRA
207,307,30104,Aleksandre Bakshi,1997-07-15T00:00:00.000Z,GEO,Georgia,GEO
206,308,65383,Arklon Huertas Del Pino,1994-07-16T00:00:00.000Z,PER,Peru,PER
205,309,31358,Jaume Antoni Munar Clar,1997-05-05T00:00:00.000Z,ESP,Spain,ESP
205,310,27358,Pedro Martinez Portero,1997-04-26T00:00:00.000Z,ESP,Spain,ESP
205,311,29937,Alex Rybakov,1997-01-27T00:00:00.000Z,USA,United States,USA
204,312,28904,Vitaliy Sachko,1997-07-14T00:00:00.000Z,UKR,Ukraine,UKR
203,313,29463,Aoran Wang,1997-02-05T00:00:00.000Z,CHN,China,CHN
203,314,30367,Gabriel Roveri Sidney,1997-04-27T00:00:00.000Z,BRA,Brazil,BRA
202,315,83105,Edward Winter,2004-09-15T00:00:00.000Z,AUS,Australia,AUS
202,316,50133,Oliver Crawford,1999-04-30T00:00:00.000Z,USA,United States,USA
202,317,58723,Franco Roncadelli,2000-02-06T00:00:00.000Z,URU,Uruguay,URU
201,318,58999,Noah Schachter,1999-09-06T00:00:00.000Z,USA,United States,USA
199,319,46749,Juan Carlos Manuel Aguilar,1998-11-20T00:00:00.000Z,CAN,Canada,CAN
199,320,59355,Emile Hudd,2000-05-27T00:00:00.000Z,GBR,Great Britain,GBR
196,321,67546,Flavio Cobolli,2002-05-06T00:00:00.000Z,ITA,Italy,ITA
196,322,81784,Petr Nesterov,2003-03-07T00:00:00.000Z,BUL,Bulgaria,BUL
194,323,70035,Woobin Shin,2004-01-20T00:00:00.000Z,KOR,"Korea, Rep.",KOR
193,324,16996,Yasutaka Uchiyama,1992-08-05T00:00:00.000Z,JPN,Japan,JPN
193,325,32349,S D Prajwal Dev,1996-05-27T00:00:00.000Z,IND,India,IND
193,326,37580,Leonardo Aboian,1998-04-20T00:00:00.000Z,ARG,Argentina,ARG
191,327,48011,Patrick Zahraj,1999-07-17T00:00:00.000Z,GER,Germany,GER
188,328,60140,Harold Mayot,2002-02-04T00:00:00.000Z,FRA,France,FRA
188,329,6150,Divij Sharan,1986-03-02T00:00:00.000Z,IND,India,IND
187,330,31335,Alberto Barroso Campos,1996-06-04T00:00:00.000Z,ESP,Spain,ESP
187,331,34107,Tim Ruehl,1998-03-31T00:00:00.000Z,GER,Germany,GER
185,332,26960,Colin Sinclair,1994-12-19T00:00:00.000Z,AUS,Australia,AUS
184,333,9493,Christopher Rungkat,1990-01-14T00:00:00.000Z,INA,Indonesia,INA
183,334,17972,Franco Agamenone,1993-04-15T00:00:00.000Z,ITA,Italy,ITA
183,335,31562,Giovanni Oradini,1997-09-14T00:00:00.000Z,ITA,Italy,ITA
183,336,71408,Pranav Kumar,1999-08-31T00:00:00.000Z,USA,United States,USA
182,337,42990,Masamichi Imamura,1998-11-23T00:00:00.000Z,JPN,Japan,JPN
180,338,22807,Daniil Medvedev,1996-02-11T00:00:00.000Z,RUS,Russia,RUS
180,339,69471,Holger Rune,2003-04-29T00:00:00.000Z,DEN,Denmark,DEN
180,340,47275,Jannik Sinner,2001-08-16T00:00:00.000Z,ITA,Italy,ITA
180,341,27482,Nicolas Jarry,1995-10-11T00:00:00.000Z,CHI,Chile,CHI
180,342,39309,Alex De Minaur,1999-02-17T00:00:00.000Z,AUS,Australia,AUS
180,343,50386,Aidan Mchugh,2000-07-09T00:00:00.000Z,GBR,Great Britain,GBR
179,344,72578,Mattia Bellucci,2001-06-01T00:00:00.000Z,ITA,Italy,ITA
178,345,82269,Ethan Quinn,2004-03-12T00:00:00.000Z,USA,United States,USA
178,346,50143,Rio Noguchi,1998-12-28T00:00:00.000Z,JPN,Japan,JPN
177,347,23082,David Poljak,1996-05-17T00:00:00.000Z,CZE,Czech Republic,CZE
176,348,27205,Murkel Alejandro Dellien Velasco,1997-09-16T00:00:00.000Z,BOL,Bolivia,BOL
175,349,25171,Quentin Halys,1996-10-26T00:00:00.000Z,FRA,France,FRA
175,350,73268,Valerio Aboian,2002-06-14T00:00:00.000Z,ARG,Argentina,ARG
174,351,65558,Harry Wendelken,2001-12-18T00:00:00.000Z,GBR,Great Britain,GBR
171,352,76127,Luciano Darderi,2002-02-14T00:00:00.000Z,ITA,Italy,ITA
171,353,46164,Tsung-Hao Huang,1999-11-22T00:00:00.000Z,TPE,Chinese Taipei,TPE
170,354,38911,Ugo Humbert,1998-06-26T00:00:00.000Z,FRA,France,FRA
169,355,36878,Jody Maginley,1995-06-07T00:00:00.000Z,ANT,Antigua-Barbuda,ANT
167,356,85523,Gabriel Debru,2005-12-21T00:00:00.000Z,FRA,France,FRA
167,357,31115,Adam Taylor,1991-06-23T00:00:00.000Z,AUS,Australia,AUS
166,358,71174,Giovanni Mpetshi Perricard,2003-07-08T00:00:00.000Z,FRA,France,FRA
165,359,50519,Adil Kalyanpur,2000-01-26T00:00:00.000Z,IND,India,IND
164,360,72574,Martin Damm,2003-09-30T00:00:00.000Z,USA,United States,USA
163,361,32703,Gijs Brouwer,1996-03-14T00:00:00.000Z,NED,Netherlands,NED
163,362,90924,Jan Hrazdil,2005-03-04T00:00:00.000Z,CZE,Czech Republic,CZE
162,363,53726,Cezar Cretu,2001-04-24T00:00:00.000Z,ROU,Romania,ROU
162,364,69838,Eric Vanshelboim,2001-07-15T00:00:00.000Z,UKR,Ukraine,UKR
160,365,37055,Mats Hermans,1996-04-06T00:00:00.000Z,NED,Netherlands,NED
159,366,45197,Jie Cui,1998-01-24T00:00:00.000Z,CHN,China,CHN
159,367,27114,Jake Delaney,1997-05-14T00:00:00.000Z,AUS,Australia,AUS
158,368,12498,Andrea Collarini,1992-01-31T00:00:00.000Z,ARG,Argentina,ARG
158,369,36114,Moez Echargui,1993-01-10T00:00:00.000Z,TUN,Tunisia,TUN
158,370,38273,Javier Barranco Cosano,1998-11-17T00:00:00.000Z,ESP,Spain,ESP
158,371,38463,Louis Wessels,1998-08-27T00:00:00.000Z,GER,Germany,GER
158,372,45050,Niklas Schell,1999-01-03T00:00:00.000Z,GER,Germany,GER
156,373,80183,Marat Sharipov (RUS),2002-10-09T00:00:00.000Z,RUS,Russia,RUS
156,374,83678,Sai Karteek Reddy Ganta,2000-06-01T00:00:00.000Z,IND,India,IND
154,375,44990,Michiel De Krom,1998-06-27T00:00:00.000Z,NED,Netherlands,NED
153,376,47387,August Holmgren,1998-04-22T00:00:00.000Z,DEN,Denmark,DEN
153,377,3492,Denis Istomin,1986-09-07T00:00:00.000Z,UZB,Uzbekistan,UZB
151,378,39863,Sho Shimabukuro,1997-07-30T00:00:00.000Z,JPN,Japan,JPN
151,379,76298,Jerome Kym,2003-02-12T00:00:00.000Z,SUI,Switzerland,SUI
151,380,30743,Eero Vasa,1997-02-01T00:00:00.000Z,FIN,Finland,FIN
151,381,84226,Thijmen Loof,2002-07-15T00:00:00.000Z,NED,Netherlands,NED
150,382,19689,Alex Bolt,1993-01-05T00:00:00.000Z,AUS,Australia,AUS
150,383,97369,Joel Schwaerzler,2006-01-27T00:00:00.000Z,AUT,Austria,AUT
148,384,89085,Mateo Del Pino,2003-06-28T00:00:00.000Z,ARG,Argentina,ARG
147,385,98265,Alejo Sanchez Quilez,2005-06-25T00:00:00.000Z,ESP,Spain,ESP
146,386,32379,Nicholas Bybel,1993-10-25T00:00:00.000Z,USA,United States,USA
146,387,64916,Matheus Pucinelli De Almeida,2001-04-01T00:00:00.000Z,BRA,Brazil,BRA
145,388,35297,Marc-Andrea Huesler,1996-06-24T00:00:00.000Z,SUI,Switzerland,SUI
145,389,34968,Nicolas Mejia,2000-02-11T00:00:00.000Z,COL,Colombia,COL
144,390,66217,Pavel Verbin,2001-10-18T00:00:00.000Z,RUS,Russia,RUS
144,391,29773,Mark Whitehouse,1993-05-01T00:00:00.000Z,GBR,Great Britain,GBR
143,392,54365,Luca Potenza,2000-07-28T00:00:00.000Z,ITA,Italy,ITA
143,393,25451,Juan Pablo Paz,1995-01-04T00:00:00.000Z,ARG,Argentina,ARG
142,394,55642,Niccolo Catini,1997-12-09T00:00:00.000Z,ITA,Italy,ITA
141,395,64632,Justin Boulais,2001-10-20T00:00:00.000Z,CAN,Canada,CAN
141,396,33284,Nicolas Moreno De Alboran,1997-07-14T00:00:00.000Z,ESP,Spain,ESP
141,397,18338,Mikelis Libietis,1992-07-09T00:00:00.000Z,LAT,Latvia,LAT
140,398,23142,Dmitry Popko,1996-10-24T00:00:00.000Z,KAZ,Kazakhstan,KAZ
140,399,18348,Pedro Sakamoto,1993-06-29T00:00:00.000Z,BRA,Brazil,BRA
139,400,59443,Hamish Stewart,1999-07-30T00:00:00.000Z,GBR,Great Britain,GBR
138,401,68094,James Mackinlay,2000-08-11T00:00:00.000Z,GBR,Great Britain,GBR
137,402,19877,Jea Moon Lee,1993-07-02T00:00:00.000Z,KOR,"Korea, Rep.",KOR
137,403,55657,Lorenzo Rottoli,2002-02-19T00:00:00.000Z,ITA,Italy,ITA
136,404,71419,Pedro Araujo,2002-03-26T00:00:00.000Z,POR,Portugal,POR
136,405,38549,Nitin Kumar Sinha,1999-02-20T00:00:00.000Z,IND,India,IND
135,406,59092,Titouan Droguet,2001-06-15T00:00:00.000Z,FRA,France,FRA
135,407,66828,Mariano Navone,2001-02-27T00:00:00.000Z,ARG,Argentina,ARG
135,408,33648,Casper Ruud,1998-12-22T00:00:00.000Z,NOR,Norway,NOR
135,409,18720,Federico Coria,1992-03-09T00:00:00.000Z,ARG,Argentina,ARG
135,410,36858,Thiago Seyboth Wild,2000-03-10T00:00:00.000Z,BRA,Brazil,BRA
135,411,82696,Maximus Jones,2004-09-05T00:00:00.000Z,THA,Thailand,THA
135,412,73241,Niels Visker,2001-10-05T00:00:00.000Z,NED,Netherlands,NED
132,413,25795,Dominik Kellovsky,1996-07-24T00:00:00.000Z,CZE,Czech Republic,CZE
132,414,99969,Yanis Ghazouani Durand,2000-07-04T00:00:00.000Z,FRA,France,FRA
131,415,44209,Sandro Kopp,2000-05-26T00:00:00.000Z,AUT,Austria,AUT
131,416,66662,Tomas Farjat,2001-02-15T00:00:00.000Z,ARG,Argentina,ARG
130,417,84230,Szymon Kielan,2002-11-21T00:00:00.000Z,POL,Poland,POL
130,418,89099,Joao Eduardo Schiessl,2004-08-19T00:00:00.000Z,BRA,Brazil,BRA
130,419,54761,Francisco Rocha,1999-10-04T00:00:00.000Z,POR,Portugal,POR
130,420,26942,Bogdan Bobrov,1997-09-16T00:00:00.000Z,RUS,Russia,RUS
127,421,20548,Min-Kyu Song,1990-08-25T00:00:00.000Z,KOR,"Korea, Rep.",KOR
127,422,62046,Taisei Ichikawa,2000-12-21T00:00:00.000Z,JPN,Japan,JPN
127,423,91863,Loann Massard,2005-07-27T00:00:00.000Z,FRA,France,FRA
126,424,44595,Ugo Blanchet,1999-01-05T00:00:00.000Z,FRA,France,FRA
126,425,8049,Ruben Gonzales,1985-09-11T00:00:00.000Z,PHI,Philippines,PHI
126,426,81601,Yanaki Milev,2004-04-15T00:00:00.000Z,BUL,Bulgaria,BUL
125,427,52394,Thiago Agustin Tirante,2001-04-10T00:00:00.000Z,ARG,Argentina,ARG
125,428,28170,Arthur Rinderknech,1995-07-23T00:00:00.000Z,FRA,France,FRA
125,429,71812,Simone Agostini,1997-03-29T00:00:00.000Z,ITA,Italy,ITA
125,430,36211,Jesse Delaney,1998-11-14T00:00:00.000Z,AUS,Australia,AUS
124,431,18669,David Jorda Sanchis,1994-06-14T00:00:00.000Z,ESP,Spain,ESP
124,432,38936,Ergi Kirkin,1999-01-27T00:00:00.000Z,TUR,Turkey,TUR
122,433,22432,Thanasi Kokkinakis,1996-04-10T00:00:00.000Z,AUS,Australia,AUS
122,434,86156,Hynek Barton,2004-04-05T00:00:00.000Z,CZE,Czech Republic,CZE
122,435,84120,Mili Poljicak,2004-07-13T00:00:00.000Z,CRO,Croatia,CRO
122,436,86275,Juan Manuel La Serna,2004-02-05T00:00:00.000Z,ARG,Argentina,ARG
122,437,40825,Manish Sureshkumar,1999-08-13T00:00:00.000Z,IND,India,IND
121,438,68393,Max Houkes,2000-07-03T00:00:00.000Z,NED,Netherlands,NED
121,439,66254,Jonas Forejtek,2001-03-10T00:00:00.000Z,CZE,Czech Republic,CZE
120,440,58726,Yanki Erel,2000-09-25T00:00:00.000Z,TUR,Turkey,TUR
120,441,79673,Filip Pieczonka,2004-04-09T00:00:00.000Z,POL,Poland,POL
120,442,69729,Pedro Boscardin Dias,2003-01-28T00:00:00.000Z,BRA,Brazil,BRA
120,443,71188,Giles Hussey,1997-05-26T00:00:00.000Z,GBR,Great Britain,GBR
119,444,27531,Akira Santillan,1997-05-22T00:00:00.000Z,AUS,Australia,AUS
119,445,57933,Matthew Summers,1998-09-25T00:00:00.000Z,GBR,Great Britain,GBR
117,446,42963,Carlos Sanchez Jover,2000-07-21T00:00:00.000Z,ESP,Spain,ESP
117,447,30978,Nathan Ponwith,1998-04-20T00:00:00.000Z,USA,United States,USA
117,448,12276,Juan Sebastian Gomez,1992-03-05T00:00:00.000Z,COL,Colombia,COL
117,449,45252,Rafael Izquierdo Luque,2000-01-10T00:00:00.000Z,ESP,Spain,ESP
116,450,77443,Johan Alexander Rodriguez,2003-09-26T00:00:00.000Z,COL,Colombia,COL
116,451,63737,Francesco Maestrelli,2002-12-21T00:00:00.000Z,ITA,Italy,ITA
115,452,73196,Dominic Stricker,2002-08-16T00:00:00.000Z,SUI,Switzerland,SUI
115,453,97973,Yi Zhou,2005-03-14T00:00:00.000Z,CHN,China,CHN
115,454,28895,Maxime Janvier,1996-10-18T00:00:00.000Z,FRA,France,FRA
115,455,77191,Yusuke Kusuhara,1997-08-09T00:00:00.000Z,JPN,Japan,JPN
115,456,54963,Lucas Horve,2000-02-25T00:00:00.000Z,USA,United States,USA
115,457,18612,Joao Domingues,1993-10-05T00:00:00.000Z,POR,Portugal,POR
115,458,92247,Federico Bondioli,2005-05-16T00:00:00.000Z,ITA,Italy,ITA
114,459,66379,Alvaro Guillen Meza,2003-01-02T00:00:00.000Z,ECU,Ecuador,ECU
114,460,45977,Sanhui Shin,1997-03-18T00:00:00.000Z,KOR,"Korea, Rep.",KOR
114,461,68635,Noah Perfetti,2001-01-15T00:00:00.000Z,ITA,Italy,ITA
114,462,84941,Dimitris Sakellaridis,2006-04-30T00:00:00.000Z,GRE,Greece,GRE
113,463,38634,Finn Bass,1999-10-09T00:00:00.000Z,GBR,Great Britain,GBR
113,464,36276,Kris Van Wyk,1996-09-29T00:00:00.000Z,RSA,South Africa,RSA
112,465,65903,Arthur Bouquier,2000-12-25T00:00:00.000Z,FRA,France,FRA
111,466,41484,Nikolas Sanchez-Izquierdo,1999-03-15T00:00:00.000Z,ESP,Spain,ESP
111,467,99846,Ryotaro Taguchi,2000-06-30T00:00:00.000Z,JPN,Japan,JPN
111,468,84323,Lukas Pokorny,2002-02-28T00:00:00.000Z,SVK,Slovakia,SVK
110,469,32729,Yosuke Watanuki,1998-04-12T00:00:00.000Z,JPN,Japan,JPN
110,470,18524,Aslan Karatsev,1993-09-04T00:00:00.000Z,RUS,Russia,RUS
110,471,84237,Sander Jong,2000-05-18T00:00:00.000Z,NED,Netherlands,NED
110,472,5069,Vishnu Vardhan,1987-07-27T00:00:00.000Z,IND,India,IND
110,473,59646,Parikshit Somani,1999-12-02T00:00:00.000Z,IND,India,IND
110,474,19871,Nick Chappell,1992-09-19T00:00:00.000Z,USA,United States,USA
110,475,51087,Naoki Tajima,2000-09-21T00:00:00.000Z,JPN,Japan,JPN
109,476,92095,Luca Pow,2005-02-01T00:00:00.000Z,GBR,Great Britain,GBR
109,477,56211,Keegan Smith,1998-06-23T00:00:00.000Z,USA,United States,USA
109,478,36062,Marek Gengel,1995-09-17T00:00:00.000Z,CZE,Czech Republic,CZE
108,479,69015,Andrea Picchione,1998-06-07T00:00:00.000Z,ITA,Italy,ITA
108,480,53517,Sidane Pontjodikromo,2000-10-24T00:00:00.000Z,NED,Netherlands,NED
107,481,33298,Antoine Bellier,1996-10-18T00:00:00.000Z,SUI,Switzerland,SUI
107,482,79440,Oliver Okonkwo,2000-04-08T00:00:00.000Z,GBR,Great Britain,GBR
107,483,28685,Viktor Durasovic,1997-03-19T00:00:00.000Z,NOR,Norway,NOR
107,484,28417,Zvonimir Babic,1995-10-22T00:00:00.000Z,CRO,Croatia,CRO
107,485,55251,George Houghton,1998-07-11T00:00:00.000Z,GBR,Great Britain,GBR
105,486,54207,Maxime Cressy,1997-05-08T00:00:00.000Z,USA,United States,USA
105,487,55252,Otto Virtanen,2001-06-21T00:00:00.000Z,FIN,Finland,FIN
104,488,57258,Benjamin Winter Lopez,1998-05-27T00:00:00.000Z,ESP,Spain,ESP
104,489,85119,Ilya Snitari,2002-03-20T00:00:00.000Z,MDA,Moldova,MDA
104,490,73607,Liam Hignett,1999-12-06T00:00:00.000Z,GBR,Great Britain,GBR
104,491,34320,Eleftherios Neos,1999-09-06T00:00:00.000Z,CYP,Cyprus,CYP
104,492,28774,Khumoun Sultanov,1998-10-27T00:00:00.000Z,UZB,Uzbekistan,UZB
103,493,28936,Mert Naci Turker,1998-08-16T00:00:00.000Z,TUR,Turkey,TUR
102,494,36278,Rigele Te,1997-10-09T00:00:00.000Z,CHN,China,CHN
102,495,754,Aisam Qureshi,1980-03-17T00:00:00.000Z,PAK,Pakistan,PAK
102,496,45938,Florian Broska,1998-01-01T00:00:00.000Z,GER,Germany,GER
102,497,89402,Erik Arutiunian,2004-10-19T00:00:00.000Z,BLR,Belarus,BLR
100,498,28899,Benjamin Bonzi,1996-06-09T00:00:00.000Z,FRA,France,FRA
100,499,29180,Billy Harris,1995-01-25T00:00:00.000Z,GBR,Great Britain,GBR
100,500,36793,Felix Corwin,1996-05-26T00:00:00.000Z,USA,United States,USA
99,501,68090,Jacob Fearnley,2001-07-15T00:00:00.000Z,GBR,Great Britain,GBR
99,502,65129,Alejo Lorenzo Lingua Lavallen,2001-03-09T00:00:00.000Z,ARG,Argentina,ARG
99,503,70062,Adam Heinonen,2002-08-22T00:00:00.000Z,SWE,Sweden,SWE
98,504,55841,Dhakshineswar Suresh,2000-03-29T00:00:00.000Z,IND,India,IND
98,505,73949,Erik Grevelius,2000-06-24T00:00:00.000Z,SWE,Sweden,SWE
98,506,85844,Marcello Serafini,2002-08-25T00:00:00.000Z,ITA,Italy,ITA
98,507,77575,John Sperle,2002-01-30T00:00:00.000Z,GER,Germany,GER
98,508,27478,Kazuma Kawachi,1994-10-11T00:00:00.000Z,JPN,Japan,JPN
98,509,36620,Simon Beaupain,1999-05-18T00:00:00.000Z,BEL,Belgium,BEL
97,510,81995,Luciano Emanuel Ambrogi,2003-11-19T00:00:00.000Z,ARG,Argentina,ARG
96,511,12662,Tennys Sandgren,1991-07-22T00:00:00.000Z,USA,United States,USA
96,512,42229,Camilo Ugo Carabelli,1999-06-17T00:00:00.000Z,ARG,Argentina,ARG
95,513,91521,Joao Fonseca,2006-08-21T00:00:00.000Z,BRA,Brazil,BRA
95,514,63299,Dalibor Svrcina,2002-10-02T00:00:00.000Z,CZE,Czech Republic,CZE
95,515,55868,Lorenzo Joaquin Rodriguez,1999-09-29T00:00:00.000Z,ARG,Argentina,ARG
95,516,31698,Luca Giacomini,1997-10-24T00:00:00.000Z,ITA,Italy,ITA
95,517,99755,James Watt,2000-06-09T00:00:00.000Z,NZL,New Zealand,NZL
94,518,55828,Clement Chidekh,2001-06-13T00:00:00.000Z,FRA,France,FRA
94,519,54563,Stefan Latinovic,1999-11-22T00:00:00.000Z,SRB,Serbia,SRB
93,520,10828,Radu Albot,1989-11-11T00:00:00.000Z,MDA,Moldova,MDA
93,521,82492,Ozan Baris,2004-03-31T00:00:00.000Z,USA,United States,USA
93,522,87277,Arthur Gea,2005-01-02T00:00:00.000Z,FRA,France,FRA
93,523,51859,Sheng Tang,2000-01-28T00:00:00.000Z,CHN,China,CHN
93,524,58432,Oleksandr Ovcharenko,2001-10-17T00:00:00.000Z,UKR,Ukraine,UKR
93,525,66499,Younes Lalami Laaroussi,2001-04-18T00:00:00.000Z,MAR,Morocco,MAR
93,526,45228,Alexey Nesterov,1998-01-22T00:00:00.000Z,RUS,Russia,RUS
92,527,30944,Alfredo Perez,1997-05-22T00:00:00.000Z,USA,United States,USA
92,528,69574,Tyler Zink,2001-01-30T00:00:00.000Z,USA,United States,USA
92,529,100722,Zhan Zheng,2003-03-10T00:00:00.000Z,CHN,China,CHN
92,530,18495,Alexey Vatutin,1992-10-27T00:00:00.000Z,RUS,Russia,RUS
92,531,32910,Sergi Perez Contri,1998-01-20T00:00:00.000Z,ESP,Spain,ESP
92,532,85308,Petr Bar Biryukov,2002-02-28T00:00:00.000Z,RUS,Russia,RUS
92,533,31517,Stefano Reitano,1997-07-21T00:00:00.000Z,ITA,Italy,ITA
91,534,68639,Axel Garcian,2002-06-07T00:00:00.000Z,FRA,France,FRA
91,535,34844,Duarte Vale,1999-01-11T00:00:00.000Z,POR,Portugal,POR
91,536,56591,Matthew Hulme,1999-02-17T00:00:00.000Z,AUS,Australia,AUS
90,537,9831,John Millman,1989-06-14T00:00:00.000Z,AUS,Australia,AUS
90,538,13674,Marton Fucsovics,1992-02-08T00:00:00.000Z,HUN,Hungary,HUN
90,539,14609,Thiago Moura Monteiro,1994-05-31T00:00:00.000Z,BRA,Brazil,BRA
90,539,14745,Jason Murray Kubler,1993-05-19T00:00:00.000Z,AUS,Australia,AUS
90,539,63017,Jack Draper,2001-12-22T00:00:00.000Z,GBR,Great Britain,GBR
90,542,24225,Yoshihito Nishioka,1995-09-27T00:00:00.000Z,JPN,Japan,JPN
90,542,17004,Ben Mclachlan,1992-05-10T00:00:00.000Z,NZL,New Zealand,NZL
90,544,26473,Hubert Hurkacz,1997-02-11T00:00:00.000Z,POL,Poland,POL
90,544,12190,Dusan Lajovic,1990-06-30T00:00:00.000Z,SRB,Serbia,SRB
90,546,52140,Fabian Marozsan,1999-10-08T00:00:00.000Z,HUN,Hungary,HUN
90,547,29732,Daniel Altmaier,1998-09-12T00:00:00.000Z,GER,Germany,GER
90,548,40434,Felix Auger Aliassime,2000-08-08T00:00:00.000Z,CAN,Canada,CAN
90,549,28267,Aleksandar Vukic,1996-04-06T00:00:00.000Z,AUS,Australia,AUS
90,550,71166,Chak Lam Coleman Wong,2004-06-06T00:00:00.000Z,HKG,Hong Kong,HKG
90,551,83306,Viacheslav Bielinskyi,2003-12-02T00:00:00.000Z,UKR,Ukraine,UKR
90,552,38295,Michael Shaw,1999-02-19T00:00:00.000Z,GBR,Great Britain,GBR
89,553,79061,Kristijan Juhas,2001-06-04T00:00:00.000Z,SRB,Serbia,SRB
89,554,39039,Boris Kozlov,2000-08-26T00:00:00.000Z,USA,United States,USA
89,555,23099,Hernan Casanova,1994-02-06T00:00:00.000Z,ARG,Argentina,ARG
89,556,68405,Diego Barreto Sanchez,2002-04-18T00:00:00.000Z,ESP,Spain,ESP
89,557,41473,Michalis Sakellaridis,2001-01-15T00:00:00.000Z,GRE,Greece,GRE
88,558,25365,Marc Polmans,1997-05-02T00:00:00.000Z,AUS,Australia,AUS
88,559,84239,Fons Van Sambeek,2002-02-10T00:00:00.000Z,NED,Netherlands,NED
87,560,56590,Dane Sweeny,2001-02-12T00:00:00.000Z,AUS,Australia,AUS
87,561,73983,Gonzalo Bueno,2004-04-03T00:00:00.000Z,PER,Peru,PER
87,562,25539,Shintaro Imai,1993-09-07T00:00:00.000Z,JPN,Japan,JPN
87,563,52543,Diogo Marques,1999-08-08T00:00:00.000Z,POR,Portugal,POR
87,564,35681,Raphael Calzi,1997-07-16T00:00:00.000Z,LUX,Luxembourg,LUX
87,565,67863,Gokberk Saritas,2003-07-18T00:00:00.000Z,TUR,Turkey,TUR
86,566,38391,Mikalai Haliak,1998-08-14T00:00:00.000Z,BLR,Belarus,BLR
86,567,77868,Nikolay Nedelchev,2003-07-05T00:00:00.000Z,BUL,Bulgaria,BUL
86,568,45487,Johannes Seeman,2000-07-05T00:00:00.000Z,EST,Estonia,EST
86,569,94989,Jacopo Bilardo,2004-11-04T00:00:00.000Z,ITA,Italy,ITA
86,570,54146,Buvaysar Gadamauri,2000-07-10T00:00:00.000Z,BEL,Belgium,BEL
86,571,54380,Tommaso Compagnucci,1999-11-05T00:00:00.000Z,ITA,Italy,ITA
85,572,83918,Rik Muller,2001-06-07T00:00:00.000Z,NED,Netherlands,NED
85,573,52369,Yeongseok Jeong,2000-03-04T00:00:00.000Z,KOR,"Korea, Rep.",KOR
85,574,90027,Brian Bozemoj,2003-11-30T00:00:00.000Z,NED,Netherlands,NED
84,575,22686,Harrison Adams,1994-05-25T00:00:00.000Z,USA,United States,USA
84,576,28856,Gabriel Donev,1996-06-29T00:00:00.000Z,BUL,Bulgaria,BUL
84,577,91178,Yamato Sueoka,2003-02-28T00:00:00.000Z,JPN,Japan,JPN
84,578,42150,Ivan Marrero Curbelo,1998-09-27T00:00:00.000Z,ESP,Spain,ESP
83,579,86924,Jakub Nicod,2004-07-21T00:00:00.000Z,CZE,Czech Republic,CZE
83,580,37199,Adrian Oetzbach,1997-10-29T00:00:00.000Z,GER,Germany,GER
83,581,30801,Vadym Ursu,1997-01-01T00:00:00.000Z,UKR,Ukraine,UKR
82,582,12097,Stefano Travaglia,1991-12-28T00:00:00.000Z,ITA,Italy,ITA
82,583,89396,Rodrigo Pacheco Mendez,2005-04-25T00:00:00.000Z,MEX,Mexico,MEX
82,584,95464,Matej Dodig,2005-07-19T00:00:00.000Z,CRO,Croatia,CRO
82,585,30230,Peter Bertran,1996-05-05T00:00:00.000Z,DOM,Dominican Republic,DOM
82,586,54973,Zura Tkemaladze,2000-06-04T00:00:00.000Z,GEO,Georgia,GEO
82,587,38400,Aliaksandr Liaonenka,1999-03-17T00:00:00.000Z,BLR,Belarus,BLR
82,588,83555,Robin Bertrand,2003-03-15T00:00:00.000Z,FRA,France,FRA
82,589,32811,Ignacio Monzon,1998-01-05T00:00:00.000Z,ARG,Argentina,ARG
82,590,37735,Franco Ribero,1999-09-09T00:00:00.000Z,ARG,Argentina,ARG
82,591,76126,Keisuke Saitoh,2001-04-29T00:00:00.000Z,JPN,Japan,JPN
81,592,20651,Tristan Lamasine,1993-03-05T00:00:00.000Z,FRA,France,FRA
81,593,76232,Keshav Chopra,2001-10-24T00:00:00.000Z,USA,United States,USA
81,594,58179,Daniel Paty,1999-10-04T00:00:00.000Z,CZE,Czech Republic,CZE
81,595,10202,Alessandro Giannessi,1990-05-30T00:00:00.000Z,ITA,Italy,ITA
81,596,45773,Alexander Zgirovsky,2001-07-10T00:00:00.000Z,BLR,Belarus,BLR
81,597,43900,Daniel Moreno,2000-02-23T00:00:00.000Z,USA,United States,USA
80,598,77192,Johannus Monday,2002-01-22T00:00:00.000Z,GBR,Great Britain,GBR
80,599,29829,Johan Nikles,1997-03-23T00:00:00.000Z,SUI,Switzerland,SUI
80,600,43645,Alan Fernando Rubio Fierros,1999-02-03T00:00:00.000Z,MEX,Mexico,MEX
80,601,67789,Wally Thayne,2000-12-29T00:00:00.000Z,USA,United States,USA
79,602,83790,Shunsuke Nakagawa,2000-03-07T00:00:00.000Z,JPN,Japan,JPN
79,603,38250,Maxence Beauge,2000-06-08T00:00:00.000Z,FRA,France,FRA
79,604,84556,Kokoro Isomura,2003-01-22T00:00:00.000Z,JPN,Japan,JPN
79,605,75230,Thiago Cigarran,2000-03-26T00:00:00.000Z,ARG,Argentina,ARG
78,606,49212,Rafael Tosetto,1999-06-02T00:00:00.000Z,BRA,Brazil,BRA
